house_size_sqm,num_occupants,season,ac,fridge,lights,fans,washing_machine,tv,bill
63,4,0,2,23,8,5,1,5,1233
144,5,1,10,23,7,13,3,4,1987
97,1,0,7,24,4,7,1,8,1464
64,1,0,2,23,3,6,3,7,1191
89,1,1,6,24,11,8,0,7,1570
131,3,0,7,24,6,10,4,3,1650
160,4,1,7,24,6,12,3,5,1868
102,3,1,8,23,8,9,3,8,1836
73,6,1,12,23,3,12,4,3,1956
173,2,1,15,24,6,2,2,4,2084
90,6,0,0,24,10,5,1,4,1217
64,5,1,8,23,9,14,2,6,1744
94,3,0,9,23,7,7,0,8,1569
114,3,0,4,23,3,4,2,6,1386
138,6,1,12,24,9,16,4,6,2244
120,5,0,8,24,4,3,3,6,1685
58,1,1,6,23,8,7,0,0,1311
137,5,0,7,24,8,5,3,5,1658
178,4,0,8,23,5,5,3,4,1782
185,6,0,9,23,9,12,3,6,2028
112,5,0,0,24,6,7,3,4,1246
188,1,1,15,23,5,17,0,4,2136
130,5,1,12,24,8,5,2,5,2023
185,3,0,3,23,5,11,2,4,1516
82,2,0,4,23,5,6,1,4,1260
172,3,0,9,24,4,6,1,5,1688
54,2,0,1,24,7,6,1,3,1019
90,5,1,6,24,7,10,2,4,1667
77,4,0,5,24,8,10,2,5,1381
184,5,0,5,24,5,6,2,1,1571
121,1,0,6,23,3,8,1,2,1351
61,5,1,11,24,9,14,2,6,1869
82,2,0,5,24,3,1,2,3,1240
97,3,1,9,23,4,17,1,5,1745
200,4,1,13,23,7,14,2,5,2211
111,5,0,5,23,10,9,2,7,1616
86,5,0,2,23,7,9,1,6,1324
148,3,0,9,23,3,8,1,6,1683
153,4,1,3,24,4,9,0,8,1510
84,6,1,9,24,7,13,3,5,1821
150,5,0,5,24,8,7,4,6,1749
180,5,1,8,24,5,8,1,4,1774
50,6,0,5,23,5,11,4,7,1511
54,2,0,5,23,5,5,1,3,1172
191,2,0,4,23,6,10,0,4,1466
152,1,0,2,24,2,7,0,5,1198
76,3,0,1,24,1,9,2,3,1131
186,4,0,12,23,6,5,1,2,1923
64,5,1,14,23,12,8,4,3,2086
139,5,1,10,23,6,13,2,9,2002
91,1,1,5,23,7,15,0,2,1416
173,5,0,6,23,4,11,2,8,1783
112,3,0,0,24,6,8,0,2,1061
145,1,0,7,24,7,4,0,4,1458
101,3,1,6,23,5,4,1,6,1511
145,1,0,2,24,2,13,1,4,1268
181,5,1,14,23,7,9,3,6,2271
200,1,0,7,23,6,11,1,3,1631
192,2,1,13,24,9,12,3,1,2114
78,4,0,8,24,3,1,2,1,1474
85,5,0,4,24,7,7,3,6,1423
62,6,1,8,23,5,12,3,6,1772
120,4,1,13,24,6,5,2,7,2075
135,5,1,8,24,5,9,3,3,1867
77,4,0,8,24,5,4,3,2,1517
115,2,1,3,24,8,15,1,4,1420
94,4,1,8,23,6,8,3,4,1738
111,1,0,6,24,2,9,0,3,1294
183,4,0,3,24,6,5,4,2,1552
77,5,1,10,23,8,9,1,6,1821
77,6,0,5,23,7,7,2,6,1508
157,6,1,8,23,8,11,1,7,1924
93,3,1,7,24,9,11,1,6,1648
133,4,1,7,24,8,5,2,2,1703
79,6,0,0,24,10,10,3,7,1335
124,4,1,14,24,7,15,2,3,2121
177,6,1,10,24,9,11,4,8,2223
141,4,0,2,23,5,7,2,2,1306
178,5,1,10,23,8,14,2,5,2111
170,4,1,11,24,9,12,3,8,2115
76,5,1,6,24,7,10,3,3,1623
170,5,0,5,24,6,6,2,3,1620
165,3,1,14,23,8,11,1,7,2155
52,6,0,1,23,5,2,3,5,1225
152,1,0,4,23,9,8,1,7,1479
186,5,1,5,23,7,15,3,4,1897
111,6,1,15,24,4,4,1,6,1993
100,2,0,7,24,6,1,1,7,1477
108,4,1,9,23,9,13,1,1,1752
167,2,1,8,23,7,17,1,2,1803
145,4,0,4,24,6,14,3,5,1622
162,3,1,9,24,6,10,4,9,1971
111,5,1,11,24,9,13,2,6,2042
101,1,0,2,24,1,11,2,0,1121
61,5,1,7,24,5,6,1,7,1591
88,4,0,7,24,5,2,0,9,1464
179,1,0,11,23,6,7,2,2,1740
180,5,1,12,23,5,8,2,7,2137
162,1,0,4,24,3,9,1,5,1398
150,4,1,10,23,5,10,1,7,1921
162,3,1,11,23,4,16,2,8,2103
130,3,0,5,23,8,10,0,7,1500
162,5,0,8,23,6,7,1,5,1717
51,2,0,2,24,6,1,1,2,1032
179,4,0,11,23,5,9,2,3,1876
103,5,0,5,24,6,9,3,6,1507
136,5,0,4,23,6,7,3,7,1616
178,3,1,12,24,2,9,1,4,1907
196,1,1,8,24,2,9,2,7,1873
175,4,0,7,23,4,12,1,3,1637
179,1,1,15,23,7,15,0,6,2102
102,6,0,1,23,10,7,1,9,1396
117,6,0,9,24,6,9,3,7,1852
172,4,1,7,23,7,12,1,4,1844
194,2,1,13,24,4,7,2,5,2095
87,6,0,2,24,8,6,3,6,1433
73,3,0,8,23,5,12,1,8,1556
118,2,0,4,24,4,5,0,0,1227
165,5,1,9,24,8,9,2,3,1984
147,6,0,3,24,8,7,2,7,1555
188,3,0,0,24,4,7,2,4,1300
193,5,1,7,24,10,8,0,4,1869
146,2,1,5,24,9,10,1,3,1578
173,4,1,4,24,6,5,1,0,1537
119,5,0,6,23,8,10,1,8,1692
142,1,0,10,23,9,7,2,3,1758
52,4,1,13,24,7,6,1,4,1834
197,4,0,3,24,3,6,0,3,1431
196,2,0,7,23,5,1,2,8,1702
139,2,1,13,24,4,7,2,1,1944
196,3,1,7,24,5,5,2,0,1729
197,3,0,11,24,6,14,0,3,1873
145,1,1,14,23,4,11,1,3,1984
101,4,1,3,24,8,11,1,5,1426
177,1,0,0,23,3,5,2,2,1149
88,1,0,4,23,2,8,0,1,1106
131,2,0,8,24,8,8,2,5,1595
153,1,0,2,23,4,10,1,0,1167
178,1,0,0,23,6,6,2,2,1212
60,5,0,4,24,5,6,4,6,1412
200,3,1,13,23,5,9,1,4,2074
91,3,1,7,24,7,10,0,9,1636
148,4,1,8,24,4,11,3,7,1932
56,3,0,6,24,6,11,1,5,1351
193,6,0,4,24,9,11,3,5,1762
139,4,0,3,24,7,7,1,3,1372
161,5,0,7,23,5,15,2,11,1897
109,3,0,6,24,4,9,0,4,1364
162,5,1,10,23,5,12,2,4,1982
51,3,0,8,23,4,10,2,5,1529
178,3,1,13,23,7,14,1,3,2093
97,5,0,4,23,5,10,3,7,1536
189,1,1,7,23,4,9,2,4,1681
86,1,1,12,23,5,9,1,1,1716
58,1,1,11,24,4,7,1,5,1637
148,6,1,10,24,6,12,3,8,2069
196,1,1,12,23,7,13,0,4,1962
97,3,1,11,23,4,14,1,4,1818
180,2,1,15,23,5,11,0,0,2016
197,5,0,10,23,5,9,1,5,1898
103,2,0,6,24,4,3,1,2,1356
169,6,1,13,24,4,9,3,8,2217
165,2,0,10,23,5,6,1,6,1728
124,4,0,6,24,3,12,2,8,1610
162,1,1,13,23,5,12,1,5,2007
153,6,0,4,24,6,8,3,11,1735
133,3,1,13,24,4,7,2,3,1923
161,1,0,4,24,2,4,0,2,1241
148,1,1,7,24,0,10,1,4,1584
142,2,0,5,24,6,10,1,4,1458
195,4,1,7,24,6,8,3,4,1863
177,1,0,5,23,5,12,1,6,1470
159,5,0,7,24,7,5,3,3,1684
131,5,0,6,24,10,9,2,7,1708
103,1,1,11,24,3,8,0,4,1691
117,2,1,11,23,4,14,1,1,1768
82,2,0,6,23,6,13,0,5,1367
191,3,0,4,23,7,9,1,1,1489
70,6,1,11,24,7,9,1,6,1898
97,6,0,5,23,3,5,2,6,1506
197,6,0,8,24,3,5,3,6,1920
177,4,1,11,23,6,9,2,6,2031
185,2,1,15,24,7,9,0,2,2036
184,3,0,3,24,8,11,2,1,1518
194,5,1,10,24,3,11,0,5,1976
177,6,0,8,24,8,9,1,3,1826
82,5,0,5,24,7,4,2,4,1436
164,5,1,9,24,5,10,3,5,1917
168,1,0,1,24,5,9,1,3,1220
71,4,1,8,23,6,9,0,4,1571
87,3,1,10,24,3,11,2,4,1716
158,4,0,8,24,5,6,4,7,1839
100,1,1,8,23,9,14,2,5,1692
57,3,0,5,23,6,8,1,3,1237
76,3,1,5,24,3,9,1,6,1478
76,2,0,6,23,3,8,2,7,1435
70,4,1,8,23,9,11,2,7,1731
79,4,0,5,23,5,10,0,3,1304
146,2,0,5,24,4,4,1,3,1359
77,5,1,9,24,8,8,3,7,1875
160,1,0,8,23,4,8,1,3,1577
110,4,0,6,23,5,6,1,10,1545
97,2,0,0,24,5,8,3,8,1229
196,3,0,8,23,4,8,2,3,1765
53,6,0,3,24,6,5,3,6,1383
84,2,0,3,23,8,8,2,3,1277
98,6,1,13,24,5,9,3,9,2185
66,5,1,6,23,6,6,1,5,1537
95,1,1,6,23,9,10,0,5,1477
166,6,1,4,23,0,9,2,6,1668
55,5,0,8,24,10,6,2,7,1607
148,6,0,9,23,8,8,3,8,1969
173,3,1,9,24,6,12,2,7,1978
86,3,0,7,24,6,6,1,5,1471
73,3,1,2,24,5,13,1,5,1334
142,3,0,7,24,3,5,1,5,1552
95,2,0,2,24,5,6,0,4,1091
144,3,1,15,24,5,15,1,6,2153
148,3,0,7,24,6,5,2,2,1552
165,2,1,11,24,4,10,0,3,1780
116,3,1,7,23,7,8,3,3,1709
177,5,1,8,23,8,15,2,4,1966
67,5,0,6,24,4,5,2,8,1504
74,4,0,2,24,3,13,2,3,1245
103,5,1,6,23,5,14,2,6,1686
107,1,0,9,23,2,9,1,1,1411
116,1,1,10,24,7,13,1,4,1704
153,1,1,7,23,3,16,0,3,1585
73,2,0,6,24,6,6,2,3,1360
163,5,1,9,23,6,11,0,8,1967
81,1,0,0,23,6,7,2,2,970
135,4,0,4,24,5,5,2,4,1377
200,2,0,4,23,2,6,2,1,1415
176,4,1,11,23,5,11,2,4,2039
179,5,1,9,23,1,17,2,3,1959
66,3,0,5,23,2,4,2,6,1312
153,4,0,8,23,7,7,2,9,1741
186,3,1,18,24,6,9,1,8,2337
92,2,0,11,23,4,9,1,7,1712
88,4,0,5,23,6,9,2,3,1427
75,4,1,8,23,3,7,3,5,1701
148,6,1,8,24,8,11,3,5,1985
99,2,1,4,24,5,4,2,2,1425
62,2,0,0,24,6,11,0,4,998
109,1,1,7,24,5,5,0,4,1456
184,5,1,16,24,7,8,2,5,2340
106,4,1,14,23,4,12,3,6,2136
85,4,1,9,24,7,9,1,5,1669
69,2,1,10,24,6,12,1,3,1638
114,2,1,7,23,4,16,1,5,1638
57,5,1,8,23,7,14,1,7,1720
193,2,0,5,24,2,6,1,5,1522
191,3,1,8,23,7,10,2,4,1922
164,3,0,8,24,6,4,3,5,1752
192,6,0,5,24,10,11,2,10,1872
141,3,1,11,23,9,12,1,3,1913
147,3,0,5,23,5,5,3,5,1543
115,5,1,14,23,8,11,3,7,2257
81,4,0,6,23,7,3,2,3,1441
135,3,1,10,23,5,12,2,4,1833
100,6,0,1,23,3,11,2,6,1338
112,2,1,8,23,3,13,1,2,1578
174,3,1,10,23,4,11,2,4,1958
199,6,0,7,23,8,11,2,3,1787
107,5,0,7,23,9,6,2,8,1665
107,2,1,10,23,5,4,1,0,1588
135,6,0,3,24,9,12,1,5,1509
98,3,1,11,23,8,13,3,0,1821
119,4,0,4,24,5,9,1,9,1480
64,2,1,6,24,2,11,1,7,1499
103,2,0,2,23,5,10,2,8,1335
150,4,1,9,24,3,13,3,4,1917
57,2,0,2,23,9,7,1,7,1221
102,3,1,13,23,8,14,1,4,1977
109,2,0,4,23,8,10,0,5,1282
157,3,1,12,24,2,9,3,5,2014
54,4,0,0,24,5,14,1,5,1126
152,1,0,8,24,5,5,0,2,1427
55,4,1,10,23,7,5,3,6,1819
158,3,0,2,24,5,4,0,5,1249
165,5,0,4,23,1,11,1,5,1500
143,4,1,8,24,7,14,1,7,1856
96,5,1,8,24,10,8,2,3,1773
148,5,1,8,23,11,9,4,3,1940
104,3,1,8,24,5,9,0,3,1556
101,3,0,7,24,6,10,2,2,1550
193,1,0,5,24,2,4,0,2,1370
62,6,0,5,24,7,10,2,7,1474
163,2,1,11,23,4,11,1,2,1850
173,4,0,0,24,5,6,2,6,1379
155,3,0,4,24,3,6,2,7,1501
196,4,1,14,23,9,10,0,8,2251
194,6,0,4,24,7,7,5,3,1766
169,6,0,3,24,6,5,2,8,1578
112,5,1,12,24,7,17,1,6,1986
68,2,0,5,23,4,9,3,3,1376
141,1,1,14,23,0,13,1,3,1913
107,4,1,8,24,9,11,2,5,1799
139,2,0,9,24,5,8,2,6,1692
166,1,0,4,24,6,7,0,5,1366
111,4,0,0,23,6,11,2,7,1331
72,2,1,10,24,7,11,1,3,1658
176,3,1,12,23,7,9,1,4,2023
186,4,0,9,23,2,0,1,7,1688
189,2,0,6,24,6,5,0,4,1474
178,6,1,15,24,5,10,2,9,2343
107,1,0,8,23,3,8,1,3,1368
171,2,0,9,24,2,4,0,7,1641
50,3,1,8,23,9,4,1,3,1479
83,4,0,1,24,6,14,0,1,1122
145,4,0,6,23,5,8,1,6,1565
175,4,0,8,23,4,7,1,5,1683
167,3,0,12,23,10,8,0,0,1751
97,1,1,10,24,7,7,1,3,1665
138,4,1,7,24,1,14,2,7,1800
166,1,1,12,24,7,9,3,3,2001
178,2,1,14,23,3,8,2,7,2114
65,6,0,9,23,8,6,2,5,1660
118,6,0,5,23,6,5,2,5,1504
71,1,0,4,24,1,4,1,0,1053
142,1,0,2,23,3,9,1,7,1278
125,6,1,8,24,7,12,1,10,1930
193,4,0,8,23,7,4,3,8,1853
135,5,0,1,23,6,7,3,7,1437
78,5,1,15,23,7,11,3,3,2085
118,3,1,8,24,6,9,3,5,1794
96,6,1,9,23,9,13,3,3,1940
143,6,0,7,23,10,12,3,7,1887
193,3,1,14,24,6,12,2,3,2170
134,5,0,6,23,4,8,2,5,1587
88,2,0,2,24,6,5,1,2,1130
149,4,1,11,23,7,6,2,8,1963
82,4,1,12,23,8,8,1,5,1850
150,2,1,7,23,3,13,2,7,1767
72,2,0,7,24,7,5,1,5,1368
59,5,0,5,24,7,11,2,9,1522
118,3,0,6,23,7,6,2,6,1558
149,2,1,8,24,3,7,1,5,1700
83,3,0,4,23,2,8,2,3,1244
187,1,0,8,24,2,5,2,1,1533
196,4,0,6,23,8,10,3,2,1719
145,5,0,3,23,10,5,1,6,1512
50,4,1,5,24,8,4,2,4,1425
118,5,0,6,23,4,6,2,7,1587
53,1,1,10,24,4,6,1,5,1562
65,4,1,8,23,7,13,2,5,1703
73,1,0,10,24,5,11,0,0,1426
129,5,0,0,24,7,6,3,8,1429
51,2,1,9,24,3,15,1,2,1542
177,4,0,1,24,3,5,1,7,1345
133,1,1,9,24,3,10,1,7,1737
189,6,0,8,24,5,4,2,6,1766
173,4,0,6,24,6,2,2,3,1575
82,4,1,3,23,6,12,1,4,1365
150,4,0,6,23,3,12,3,11,1761
61,3,1,8,23,5,9,1,6,1617
116,1,1,12,23,8,11,1,4,1791
114,1,0,1,23,5,4,1,3,1062
123,4,1,14,23,5,9,3,5,2107
92,2,0,0,24,7,3,2,4,1116
93,4,0,1,23,11,12,3,4,1390
78,3,0,5,23,6,4,2,6,1373
190,5,1,12,23,5,10,2,8,2163
61,3,0,9,23,6,12,1,2,1500
144,2,0,6,23,8,8,2,7,1598
95,4,1,9,24,6,10,0,8,1773
179,1,1,12,24,5,11,2,4,2004
84,6,1,2,23,10,7,2,11,1592
130,4,1,7,24,6,5,3,3,1684
139,2,0,2,23,8,8,2,4,1324
57,1,0,7,24,2,8,1,6,1335
142,3,0,10,24,6,8,2,4,1790
139,5,0,11,24,10,0,3,4,1857
164,5,1,12,24,11,6,1,6,2101
154,4,1,13,24,5,11,2,7,2148
184,3,0,7,23,5,7,2,5,1743
107,6,1,8,23,11,13,2,9,1983
163,6,1,7,24,6,11,2,7,1903
124,2,1,6,24,4,14,3,0,1517
169,5,1,6,23,6,14,1,5,1766
70,3,1,11,24,4,12,0,5,1695
187,4,0,6,23,4,7,2,4,1626
150,1,0,4,23,4,8,1,2,1297
148,4,1,4,24,3,12,2,6,1590
85,4,1,6,23,5,14,1,9,1669
145,3,0,5,23,9,6,2,5,1544
200,5,0,2,24,8,9,1,7,1522
86,3,1,17,24,4,6,4,5,2228
61,1,1,4,23,5,9,0,5,1309
162,3,1,14,24,5,11,2,3,2114
62,2,0,4,24,4,9,1,5,1230
72,4,1,7,24,1,12,2,5,1589
148,5,1,9,23,5,8,1,6,1876
154,6,1,10,24,6,11,3,8,2122
79,1,1,9,23,10,9,1,1,1539
66,6,1,5,23,8,16,2,6,1679
162,4,1,12,24,6,6,1,6,2007
111,3,1,8,24,7,17,3,5,1861
133,6,1,6,23,8,13,2,4,1831
161,2,0,5,24,4,0,1,3,1332
135,3,0,10,24,5,6,2,4,1734
190,4,0,7,24,5,8,4,7,1863
68,6,1,8,23,4,10,1,7,1738
149,1,0,5,23,3,3,2,6,1432
189,6,0,6,23,7,4,4,8,1864
196,6,0,8,24,8,8,2,10,1980
125,5,0,5,24,7,3,0,5,1400
58,6,0,6,23,9,10,2,8,1588
77,4,1,10,23,6,10,1,2,1716
177,1,0,3,23,7,9,0,5,1390
101,4,1,11,23,6,7,0,5,1779
132,2,1,7,24,6,6,2,4,1685
160,3,0,3,24,6,11,2,4,1463
193,6,1,11,24,6,10,1,6,2139
166,5,0,7,24,8,3,2,6,1691
118,1,1,11,23,3,8,0,3,1684
148,5,1,3,24,5,11,1,7,1609
189,5,0,9,23,7,3,2,3,1803
74,5,1,10,23,6,2,1,6,1746
172,6,1,8,24,5,6,2,7,1941
102,1,1,8,23,5,13,1,3,1602
200,1,1,12,24,6,5,0,5,1943
193,5,1,0,23,6,13,3,2,1544
106,3,1,5,23,9,11,2,4,1641
88,6,1,12,23,9,8,1,5,1992
158,6,1,8,23,6,14,4,8,2077
91,4,0,5,23,4,3,1,6,1385
191,6,1,10,23,7,9,2,7,2093
171,5,0,9,24,7,7,2,7,1842
182,2,0,5,24,2,6,2,0,1446
124,5,1,9,23,3,11,2,6,1904
195,1,1,11,23,2,12,1,6,1932
125,6,0,8,24,9,6,1,6,1731
58,6,0,8,23,10,12,4,6,1740
123,4,0,5,23,4,5,3,5,1466
194,2,1,9,23,2,10,0,4,1762
56,6,1,8,23,7,12,2,6,1751
190,4,1,15,24,6,10,0,4,2198
186,4,0,9,24,4,3,0,9,1738
76,2,1,7,24,3,10,1,4,1460
171,5,1,6,24,5,8,3,7,1828
54,5,1,11,24,6,16,3,5,1953
78,5,1,12,24,7,15,1,5,1982
132,3,0,2,23,1,8,3,6,1420
185,5,1,9,24,10,10,3,6,2124
158,2,1,13,24,6,14,0,4,1985
114,3,0,6,24,6,11,2,4,1524
135,5,1,4,23,5,12,2,6,1682
194,3,0,3,24,4,12,0,5,1456
120,2,0,7,23,3,9,1,3,1498
94,5,1,10,23,6,11,2,6,1897
181,1,0,9,24,5,8,0,5,1644
85,6,1,11,24,9,9,2,8,1975
119,2,0,6,24,2,10,2,5,1479
68,4,0,6,24,5,7,3,5,1475
157,4,1,8,23,6,11,2,3,1843
140,2,0,6,23,5,7,1,3,1455
139,4,1,11,23,5,12,2,6,1991
68,2,1,13,24,4,11,2,3,1886
88,1,1,6,24,4,13,1,0,1421
175,2,1,13,23,3,9,1,6,2033
190,5,0,6,24,5,6,2,6,1704
175,5,1,13,23,3,13,2,5,2106
107,3,0,5,23,8,13,1,3,1527
197,4,1,14,24,7,10,1,5,2194
110,6,0,3,23,4,9,1,6,1378
176,4,0,7,24,4,5,3,4,1697
154,2,0,7,24,2,6,1,6,1557
50,6,0,2,24,5,8,2,3,1249
180,6,1,12,24,7,11,2,2,2080
141,4,1,13,23,12,11,2,7,2074
162,6,0,6,24,6,7,3,6,1794
105,6,0,7,23,8,3,2,5,1668
166,5,1,8,24,6,7,2,4,1899
183,1,0,3,23,5,11,2,3,1421
107,2,0,7,24,4,6,0,5,1378
93,4,1,7,23,8,10,1,7,1711
110,5,0,0,24,8,8,3,7,1371
96,3,0,3,24,5,14,2,4,1368
198,6,1,15,23,8,10,1,6,2343
129,6,0,9,23,9,10,1,7,1805
167,4,1,7,23,5,8,2,8,1863
196,1,1,7,23,5,9,0,4,1675
69,1,1,7,23,6,12,1,4,1471
195,4,1,14,24,7,12,2,4,2230
96,4,0,4,24,7,9,2,5,1442
98,5,1,8,24,7,11,1,6,1743
63,4,1,6,23,7,10,1,5,1579
192,3,0,6,24,9,11,0,5,1610
50,5,1,11,24,4,15,1,3,1699
166,6,0,7,23,7,7,2,6,1794
103,6,1,8,23,5,10,3,9,1870
167,6,1,12,23,6,10,3,9,2256
52,6,1,8,24,8,9,3,9,1850
193,2,1,14,23,2,13,2,2,2075
61,3,0,2,24,3,7,3,6,1267
123,5,0,6,23,9,8,1,7,1588
65,5,0,7,23,4,9,3,10,1666
151,6,1,15,23,10,1,3,7,2215
166,1,1,7,23,4,9,1,4,1637
57,5,1,8,24,6,11,2,6,1704
171,3,0,2,24,4,10,1,9,1468
141,4,1,7,24,5,15,1,5,1765
139,3,0,6,24,6,8,0,7,1587
185,6,0,1,24,7,3,1,5,1476
109,6,0,6,23,5,9,2,6,1578
77,2,1,10,23,6,10,1,4,1685
150,5,1,10,23,9,16,2,4,2007
90,5,1,6,24,3,14,1,8,1706
194,5,1,10,23,11,7,1,8,2108
190,6,0,13,24,8,6,2,9,2182
95,5,0,3,23,7,12,4,6,1579
84,1,1,6,23,8,11,0,6,1513
183,1,1,4,23,0,12,2,1,1489
131,4,1,13,23,3,10,1,8,2028
164,5,0,3,23,2,13,1,8,1567
96,2,1,9,24,3,11,1,6,1672
59,4,0,11,23,7,10,1,6,1660
105,6,0,6,24,5,3,3,8,1622
79,5,0,6,23,5,4,2,6,1495
158,1,0,5,23,3,14,0,4,1426
54,2,0,5,23,5,4,2,4,1212
168,4,0,7,23,6,9,1,5,1664
82,2,0,6,23,3,10,1,2,1292
167,5,1,3,23,4,11,2,3,1646
114,3,1,10,24,5,13,3,9,1963
195,2,1,12,24,5,5,1,3,1955
60,2,0,12,24,8,11,1,3,1626
134,6,0,6,23,5,0,1,9,1628
75,1,1,9,24,4,13,2,9,1702
112,5,0,6,24,2,16,3,8,1690
135,2,0,7,24,7,11,1,5,1541
108,5,0,1,24,6,8,3,4,1349
76,1,0,7,23,6,7,2,7,1382
147,6,0,3,23,9,7,2,6,1647
154,5,0,7,23,7,4,0,2,1580
148,1,0,3,24,5,7,1,3,1274
178,1,0,6,23,1,3,1,6,1513
198,4,0,6,23,6,5,4,4,1774
104,6,0,4,23,5,10,3,8,1569
55,6,0,4,23,5,10,1,4,1326
144,5,0,7,23,3,9,3,4,1646
182,3,1,10,24,5,11,1,6,1939
151,4,0,9,23,4,2,2,4,1671
52,6,0,2,24,5,6,2,8,1300
72,1,1,10,24,2,10,0,0,1457
102,6,1,7,24,10,6,1,5,1726
132,3,1,15,23,3,6,2,6,2059
194,2,0,8,24,4,10,1,8,1728
134,2,0,4,23,5,8,1,6,1408
127,6,1,15,24,7,7,1,6,2172
159,6,1,12,24,10,15,4,8,2283
50,4,1,6,24,2,13,1,5,1480
100,6,0,5,23,7,7,2,8,1606
53,3,0,1,24,7,4,1,6,1070
162,6,1,7,24,8,15,3,11,2074
81,5,0,8,24,11,13,2,7,1696
83,3,0,2,24,8,11,4,4,1434
141,4,1,6,23,5,14,3,6,1835
144,5,1,12,23,6,10,0,4,1930
121,5,1,14,24,8,11,2,4,2136
88,2,0,8,24,5,12,2,4,1532
167,3,0,13,23,5,8,2,5,1963
52,5,0,11,23,11,5,1,5,1723
172,4,0,4,24,8,5,2,2,1537
99,2,0,4,23,9,11,1,1,1286
61,5,1,4,24,6,17,2,6,1537
103,3,0,2,24,6,9,2,2,1280
182,2,0,10,23,6,14,1,5,1814
106,3,1,10,23,7,5,0,8,1817
194,3,1,15,23,5,7,0,4,2172
161,3,1,8,24,4,9,4,4,1870
96,2,1,7,24,3,5,1,6,1508
200,5,0,9,23,6,7,2,5,1820
134,6,0,9,23,4,11,3,4,1810
191,1,1,6,24,5,4,1,3,1550
115,5,0,5,23,2,10,2,5,1501
124,2,1,11,23,2,7,1,5,1792
152,1,0,8,23,7,5,1,2,1526
87,1,0,8,24,5,7,0,5,1415
99,1,0,5,23,5,7,0,5,1265
147,6,1,6,24,8,14,2,4,1791
131,4,1,4,23,10,10,4,7,1790
79,2,0,4,23,7,10,2,0,1226
128,6,0,5,24,10,11,2,4,1589
140,6,1,7,24,6,11,3,3,1846
101,4,1,12,24,6,17,2,8,2019
128,1,0,2,24,2,6,2,4,1221
79,4,0,3,24,8,5,4,4,1398
155,4,1,14,24,7,8,1,7,2154
100,6,0,3,24,6,14,2,6,1484
130,2,1,11,24,4,13,1,9,1919
182,3,1,11,23,6,14,1,7,2027
78,4,0,5,24,6,10,1,8,1480
181,4,0,9,23,5,7,3,3,1805
187,1,0,8,24,4,8,0,8,1611
194,1,1,7,24,4,8,1,2,1642
123,6,1,6,24,8,17,4,3,1866
66,1,1,9,24,4,10,0,3,1477
133,5,0,3,23,1,5,2,7,1410
